C0445117;Neoplasm present
C0948317;Preparation for procedure
C0949647;Vitamin E
C1539100;Body tissue
C0491243;Instrument - device
C4320404;HIF1alpha protein
C3271553;Cells
C0240873;Rectosigmoid Region
C0192616;Patients
C0877441;Chromoendoscopy
C0600465;Family
C0600466;Endogenous Retroviruses
C1539116;ferroptosis
C1142262;regorafenib
C1515162;Neoplastic Cell Transformation
C3546329;Nerve Growth Factor
C1254942;Colorectal Carcinoma
C1420269;LAMB3 gene
C0854893;Ascending colon
C0165101;ABCB1 gene
C1419274;Serum
C0178415;Patients
C1265601;Solitary mass
C1265602;Multiple masses
C1265604;Ulcerated mass
C0155773;Multiple Organ Failure
C0345180;Meckel Diverticulum
C1420267;Trans-Activation Genetic
C0180748;ergometers
C1420266;Colorectal Carcinoma
C3269144;Cell Line Tumor
C3269138;extrinsic apoptosis
C1419285;Inflammatory Bowel Diseases
C0192711;Amputation Stumps
C0192715;Esophagectomy
C0587021;Diagnosis
C0192706;Interventional procedure
C1419292;TP53 gene
C0815275;Malignant neoplasm of breast
C0178421;Malignant Neoplasms
C3534339;Somatostatin-Secreting Cells
C3546313;Necrosis
C1419298;Chronic Obstructive Airway Disease
C1705070;SLC2A1 gene
C0600558;advanced disease
C1420280;Cultured Cell Line
C0166415;PPAR alpha
C0166418;Metabolism
C0034085;DEGS1 wt Allele
C0599013;Nucleic Acids
C1504515;Anal canal
C1995013;Psoas Abscess
C2986382;Germ Line
C1421558;Malignant tumor of colon
C1420225;High Level
C0215848;luciferin monooxygenase activity
C0034079;Patients
C1718327;Patients
C0022086;colon growth
C0226509;E-Cadherin
C0926946;Gastrinoma
C0046056;Left lung
C0227837;Endocervix
C0226504;Structure of venous sinus
C0878826;Distal subtotal pancreatectomy
C1420222;Catabolism
C1708995;mRNA Expression
C1960398;ado-trastuzumab emtansine
C0034065;Sudden death
C3546359;MG 132
C1277615;Male population group
C0034069;Mus
C1420239;fatty acid oxidation
C1419240;Adenosine Phosphosulfate
C1419242;replication fork
C0600521;Volume Modulated Arc Therapy
C0227848;Present
C3812526;fatty acid metabolism
C1705010;Anti-Bacterial Agents
C1421561;YWHAG gene
C1421560;YWHAE gene
C1420234;human cell line
C1421565;CRNDE gene
C1420232;Cell Proliferation
C1421562;Protein Subunits
C0034052;Computed Tomography Angiography
C1420248;trichostatin A
C1420247;Patients
C2816585;Saponin
C1719672;Abdominal Cavity
C0600518;Choroidal Neovascularization
C1419258;RANBP1 gene
C0600513;Extracellular Matrix
C1517874;Heart
C0227813;Endometriosis
C1516545;Histones
C1096715;Physical findings
C1707686;Hereditary Nonpolyposis Colorectal Cancer
C1278926;mass lesion
C0600508;ENPP2 gene
C1419269;Tumor Suppression
C1419272;RARG gene
C1265610;Cronkhite-Canada Syndrome
C1265611;Quantity
C1420251;Cholangiocarcinoma
C0009074;Pharmaceutical Preparations
C1421514;GATA3 gene
C0035363;Self Expandable Metallic Stents
C4511035;Isolated thrombocytopenia
C0686750;Patients
C1335197;tumor growth
C0034035;Public Sector
C0009079;Antipsychotic Agents
C2987648;Small cell carcinoma of lung
C1335196;Chronic Obstructive Airway Disease
C1335191;SOS1 gene
C0036690;Multiple Organ Failure
C3536924;Reactive Oxygen Species
C0023374;Cohort
C3499533;Beta-glucuronidase
C2673622;Radical excision
C0334459;Salivary Glands
C0035369;Patients
C0009085;Hospitals
C1419204;Secondary malignant neoplasm of liver
C0334463;Malignant Fibrous Histiocytoma
C1335186;Oxidoreductase Gene
C1421527;Adoptive Immunotherapy
C1419202;IL27 gene
C0333139;Gas retention
C0035359;Exploratory incision
C0035358;Yolk Sac
C2698934;Adverse reaction to drug
C1421536;Apoptosis
C1419216;Tumor Progression
C0009054;Colonic mucous membrane
C0720298;Dysbiosis
C0009053;COL5A2 gene
C1335177;Intestinal Obstruction
C0035345;Employment status
C0035342;Disease
C2987625;Side-to-end coloanal anastomosis
C2755105;stem cell proliferation
C1419212;N(6)-methyladenosine
C0022023;Superoxides
C2987624;Malignant neoplasm of splenic flexure of colon
C0022022;Antibiotics
C0036679;methylserine phosphate
C1419227;Glycolysis
C1420216;Antineoplastic Agents
C0009063;Neuraminidase
C0037991;Pelvis
C1335168;Ovarian mucinous tumor
C1421544;XPO1 gene
C0037995;Wounds and Injuries
C0035334;Total mesorectal excision
C1335167;Primary malignant neoplasm
C1420219;SLC6A8 gene
C0010054;Inflammation
C0334489;Tissue specimen
C0249197;dioscin
C0037993;RUNX3 gene
C0009068;Anastomotic Leak
C2987636;Secondary Neoplasm
C4054275;Patients
C4524315;Programmed Cell Death Type II
C2987634;colon growth
C0037999;Splenic Neoplasms
C0035335;BRAF gene
C0037998;Multiple Organ Failure
C1120843;TRPV1 gene
C1827449;Adrenal Cortex Hormones
C0035320;Retinal Neovascularization
C0037982;Negative Lymph Node
C0333169;Intestines
C0333167;Intestines
C0333166;Celiac Artery
C0022009;Reconstructive Surgical Procedures
C0333165;Acute obstruction
C0000696;Cell Migration Assays
C0334492;Malignant neoplasm of gastrointestinal tract
C0024660;Fluorides
C0036658;Immunity
C0035328;Microbiome
C2987682;Primary malignant neoplasm of uterine cervix
C0010028;Silk
C0333171;Ileus
C1335147;Osteolytic Neoplasm
C1335144;House mice
C2697642;Glioma
C2697641;Colitis
C2698972;Cancer Diagnostic Procedure
C0010031;Cornea
C0058610;Antineoplastic Agents
C4525628;Ileal Neuroendocrine Tumor
C1826102;Colorectal Carcinoma
C1827434;Patients
C0024671;Woman
C0456853;Carcinoma Small Cell
C1290611;Patients
C0035316;Retinal Ganglion Cells
C0035317;Iron deficiency anemia
C1409894;Normal function
C1422820;Body tissue
C0036631;Secondary Malignant Neoplasm
C0013990;Pathological accumulation of air in tissues
C1335132;Metabolite
C0009013;T-Cell Receptor
C0025978;calponin
C0025979;scinderin
C3536985;Pharmacotherapy
C0024643;Goblet Cells
C0084913;Neoplastic Cell Transformation
C0025974;Digestion
C0746883;Leukopenia
C3837896;Neoplasms
C0058624;American College of Cardiology/American Heart Association Lesion Complexity Score A
C0035302;Retinal Artery Occlusion
C0035309;Retinal Diseases
C2744440;Patients
C1421500;Colorectal Carcinoma
C1422834;KCTD1 gene
C1422839;Cessation of life
C4054230;Peritoneal Cavity
C3849882;Endothelial Cells
C0036623;Semiconductors
C0036628;Malignant neoplasm of prostate
C0059969;extracellular matrix receptor
C3836382;primary Colorectal adenocarcinoma
C0059973;Gene Silencing
C0684296;Isolation procedure
C0024623;First Degree Relative
C1540046;TRAF3IP2 gene
C0024620;Ablation
C0037943;Fatty deposition
C0037949;Spinal Fractures
C0012644;Acute colitis
C0553702;ca increase
C0684287;hepatoma cell
C0013982;AKT Signaling Pathway
C1335221;PLA2G2A gene
C2674784;Colorectal Carcinoma
C0037930;Patients
C0069304;Mast/Stem Cell Growth Factor Receptor Signaling Pathway
C0059985;Antimetabolites
C3898639;LOX IMVI
C0745761;Indocyanine Green
C0025965;Micrococcal Nuclease
C1826268;Multiple malignancy
C0001973;Neoplasms
C0733796;Gastrografin
C0948268;Patients
C0236075;Woman
C0036609;Disease
C0037939;Neoplasms
C0025962;Anesthesia management
C3899964;BRCA2 Mutation Carrier
C0286330;Polyubiquitination
C0950580;Malignant tumor of colon
C0037937;Spinal Injuries
C0013987;Fatty Acids Volatile
C0012655;Imbalance
C0299636;Octreotide
C1336558;Adenocarcinoma
C1335212;monodehydroascorbate reductase (NADH) activity
C0025938;Anti-Antibodies
C1335210;Fluorouracil
C0684275;Cancer Detection
C3899977;Patients
C1826251;Chromosomes Human Pair 2
C0025936;Mice Transgenic
C0025932;Xenograft procedure
C0025933;Inflammation
C0037929;Persons
C0236048;Persons
C1276393;Control Groups
C0037922;Neoplasms
C0037926;Compression of spinal cord
C0012621;Gallbladder
C0072978;Colorectal Carcinoma
C0071649;Colonic Diseases
C0037925;Radiation-induced myelopathy
C0071629;Gastrointestinal Diseases
C1515091;Surgically-Created Resection Cavity
C0937596;Melanosis coli
C0745744;Non-alcoholic Fatty Liver Disease
C3899988;Autosomal Recessive Disorder
C1325881;biofilm formation
C0001998;Attention
C3899989;Autosomal Dominant Disorder
C1826242;MIR663AHG gene
C1325887;focal adhesion assembly
C0001992;Colorectal Carcinoma
C1335209;Glycolysis
C0011306;C-C Chemokine Receptor Type 4 human
C1515089;Pancreaticoduodenectomy
C0013969;Emergency operation
C0037910;Tumeric
C0011307;Prophylactic treatment
C1553323;Cambodians
C0012634;Lethal
C2004041;silence
C0068008;Disease
C0025919;Mice Inbred BALB C
C0001948;Communicable Diseases
C0000618;Acids
C1539093;Colorectal Neoplasms
C0025914;ING1 gene
C1540089;TSPAN9 gene
C1540085;Cessation of life
C0999806;Persons
C0999807;Human papillomavirus 18
C0037907;Rectal Carcinoma
C1567966;Aryl Hydrocarbon Receptor
C0037906;Lipids
C0516792;Operative Surgical Procedures
C1539087;Pharmaceutical Preparations
C0037900;sphingosine kinase-1
C0013936;Gene Family
C0013935;QPCT wt Allele
C1336528;Vagina
C0013930;Embolism Tumor
C0013931;Splenomegaly
C3272903;Tucatinib
C0527443;Autophagy
C0334302;Stomach
C2987738;Vegan
C1540079;Metabolism
C0025921;Mice Inbred C57BL
C0072980;Malignant neoplasm of hepatic flexure of colon
C0070320;Stat3 Signaling Pathway
C0454156;Patients
C0334306;Cohort
C0334307;Woman
C1336515;Infiltration
C3887946;Cultured Cell Line
C0012611;Gastrointestinal Diseases
C1540061;Multiple tumors
C0001963;Propolis
C2004062;Control Groups
C1540063;STAT3 gene
C0001962;Colonic Neoplasms
C0262374;Male population group
C0071687;Malignant Neoplasms
C1553373;Ecuadorian
C0070358;Neurons
C3887958;Dioxygenases
C3536909;Apolipoprotein E
C0442158;Erythema
C1540054;Phosphorylation
C2987716;Intestinal Microbiome
C1540056;Ubiquitination
C3899947;Did not receive therapy or drug for
C0262361;Growth abnormality
C4235517;autophagosome organization
C1553362;Catalonian
C0013922;Left lung
C1539079;Carcinogenesis
C0264939;Disease
C0852077;early detection of colorectal cancer
C0310367;Plant Roots
C0001904;Malignant neoplasm of duodenum
C0564439;Ergocalciferol
C0227998;Malaise
C0225334;Implantation procedure
C0225337;Columnar epithelium
C0225336;Blood supply aspects
C0240962;Male population group
C0564436;Colorectal Carcinoma
C0877373;Malnutrition
C1179435;Caveolae
C0202691;Lesion
C1325834;Variation (Genetics)
C0541791;Intestines
C0225339;Anus
C0225338;Columnar epithelial cell
C0238644;Transverse colon
C0225340;Anus
C0225342;Vagina
C1517648;K-ras Oncogene
C1516317;Cauliflower-Like Mass
C0239981;Anastomotic Leak
C1517649;Asians
C0069389;Toxin
C0013900;cyclin A2
C0237326;Male population group
C1142163;Small bowel obstruction
C3897380;biological radiation resistance
C3897381;Serum
C0577749;Cancer Cell Growth
C0239984;Patients
C0056080;Malignant tumor of colon
C0001924;Prealbumin
C1155494;Estrogen Receptors
C0227970;Structure of lobe of prostate
C0225317;Reconstructive Surgical Procedures
C1142173;Tumor swelling
C2248778;Equilibrium
C0238637;Operative Surgical Procedures
C4331219;Sarcopenia
C2248760;Tumor cells malignant
C0225326;Intestinal Microbiome
C1698484;Vaccination
C0001911;PRKAA1 wt Allele
C0225325;Detection
C1516334;Cell Proliferation
C0564461;Sunlight
C0565793;Colorectal Carcinoma
C0178487;Antioxidants
C1516337;Cell Cycle
C0180799;Colorectal Carcinoma
C1142182;Finding of body mass index
C3886682;Endoplasmic Reticulum Stress
C0852035;CTCAE Grade 3 Hypertension
C1456380;mitogen-activated protein kinase p38
C4319504;Superior margin
C1456389;PLA2G12B gene
C2926735;Anxiety symptoms
C0949541;Adrenal Glands
C0179784;Patients
C1516369;Malignant tumor of colon
C0238686;Patients
C1167402;Non-squamous epithelial cell
C0192751;Anastomotic Leak
C1961537;Absorbable suture
C0179799;Condoms Male
C0192755;Patients
C0192754;Slow transit constipation
C0248007;B-Cell Lymphoma 6 Protein
C1528365;FITC-annexin A5
C0877341;Cancer Patient
C3670817;Cecal mass
C3897342;postoperative analgesia
C1516353;Cell Mobility
C0238697;Coffin-Siris syndrome
C0853389;Transversus Abdominis Plane Block
C0564418;Colorectal Carcinoma
C0192742;Duodenojejunostomy
C0225358;Necrosis
C0225355;Anus
C1155452;NOTCH1 gene
C1179412;plakoglobin
C0600597;Oligonucleotide Arrays
C0225360;Glycolysis
C0936223;Rectal examination
C0564428;Folate intake
C1456377;Growth
C1706406;Intussusception
C3670832;Cancer Patient
C3670831;Mass of mesentery
C0577725;Male population group
C0948209;Neoplasms
C1516373;Cellular Stress
C0854776;Pharmacotherapy
C0142580;Patients
C0854778;CD69 protein human
C0815172;patient characteristics
C0178539;Cellular
C1431046;Colorectal Carcinoma
C1456349;Phosphorylation
C3813707;Neoplasms
C0599155;Cystic Fibrosis
C0877425;Head
C0878751;late pregnancy
C0600688;Stomach Carcinoma
C1420393;Mesentery
C1420392;Patients
C0600680;Transcription Genetic
C1705192;Peritoneum
C0192817;Delirium Dementia Amnestic Cognitive Disorders
C0383327;Biological Processes
C0035298;Homo sapiens
C0178523;Kidney
C2248809;Patients
C0406457;Autoimmune Diseases
C1276413;Locally Advanced Malignant Neoplasm
C0238605;South African
C0238607;AIDS patient
C4331229;Adenocarcinoma of large intestine
C0239937;Male population group
C0227952;Mesenteric Arteries
C0842749;HTATIP wt Allele
C1420343;Mus
C0240919;Persons
C1420357;SPHK1 gene
C0035273;Operative Surgical Procedures
C0239946;Cholangiocarcinoma
C0215955;Oxygen
C0611285;Carcinoma
C1155389;fibroblast growth factor receptor signaling pathway
C0647210;Pneumoperitoneum
C0252902;Accumulation
C1517722;Situs ambiguus
C3849701;Diarrhea
C0166524;sinapinic acid
C1420369;Cytoplasm
C1420368;Germ-Line Mutation
C0854750;Metastatic Malignant Testicular Germ Cell Tumor
C1419373;Immune System Diseases
C4331246;Pathologic Complete Response
C0179800;Urethral Catheters
C1419379;Animal Model
C0815189;Cohort
C1420362;PRSS8 protein human
C1720782;Liposomes
C1420365;Cancer-Associated Fibroblasts
C0036581;Injury of liver
C0600627;Catenins
C1419388;Patients
C1085943;Polysaccharides
C1180347;Argonaute Proteins
C0035258;Colectomy
C0036572;Italians
C1421638;caspase-7
C0035243;Fatigue
C2718059;Solid carcinoma
C0333002;Body Parts - Canal
C0600615;Pharmaceutical Preparations
C0333000;Enterogenous cyst
C3812452;Neoplasms
C2936179;CD69 protein human
C0024586;Neuroendocrine Tumors
C0347646;Colitis
C1275122;Secondary malignant neoplasm of lung
C3620627;Bacteroidetes
C1420315;SOS2 gene
C1420314;PAWR gene
C0444793;Hemicolectomy
C0334342;Mucinous metaplasia
C0036563;Euphorbia lathyris
C1420317;GATA3 gene
C0334346;Anal Sacs
C3811114;High Level
C0023269;Sarcoma
C4078326;Dextran Sulfate Sodium
C1265799;Massive embolus
C0023263;Mucuna
C0454111;Malignant neoplasm of vulva
C0600600;BET1L gene
C0359627;Colorectal Carcinoma
C0443469;Small intestine contents
C0334357;Spleen
C0012582;Combined Modality Therapy
C0333027;Microlithiasis
C2986418;Fatty Acids Volatile
C1419330;Gene Silencing
C0358321;Anti-Antibodies
C2718080;Survivors
C0104203;neutrophil
C2706046;Palpable mass
C1420322;Colorectal Cancer
C0037871;Natural Killer Cells
C1419349;RFC2 gene
C0334368;Gallbladder
C0443442;Colorectal Carcinoma
C0131875;CXCL1 protein human
C1335280;Dephosphorylation
C2986423;Mus
C0442115;Neoplastic Cell
C1420331;Stem cells
C1335278;Patients
C2718019;Drug Packaging
C0744369;Anus
C0419786;Surgical Wound Infection
C0023216;Varicosity
C0025879;Mevalonic Acid
C1335273;Oxidative Phosphorylation
C1335271;PTGS1 gene
C0334371;Salivary Glands
C0334372;Pancreas
C0025872;Ulcer
C0601900;Periampullary Adenocarcinoma
C0035203;Crypt
C0035204;Respiration Disorders
C0334385;Inflammatory carcinoma
C1335267;Male population group
C1335262;PRKDC gene
C3536832;SUPPLY NOT OTHERWISE SPECIFIED
C0001899;Alanine Transaminase
C0333056;colonoscopy
C0001898;Cyanobacteria
C0396621;Deep Sedation
C4525742;cancer therapy
C0384648;Patients
C0444757;Water soluble contrast medium
C0347697;Control Groups
C0684249;Bypass Surgery
C0333062;Hernia sac
C0299583;Malignant neoplasm of gallbladder
C0024525;Present
C0025859;Adrenergic beta-Antagonists
C0599161;Monensin
C2985123;TFF3 gene
C0733688;Etoposide
C0013879;Carcinogenesis
C2744325;Persons
C0815107;Depressive disorder
C4513755;Thickened
C0744333;Papilloma
C1419308;RBMX gene
C1826201;Colorectal Carcinoma
C0023206;Immune response
C1675748;1-(4-((4-(dimethylamino)piperidin-1-yl)carbonyl)phenyl)-3-(4-(46-dimorpholin-4-yl-135-triazin-2-yl)phenyl)urea
C0731033;Patients
C0024530;Malignant Neoplasms
C0672250;Small intestine carcinoma
C0036503;Malignant Neoplasms
C1335249;MicroRNA 19B
C0444263;Healthy Volunteers
C0193373;Biliary Tract Cancer
C0034790;Clone Cells
C0227230;Macrophage Activation Syndrome
C0229890;Anabolism
C0019158;glyphosate
C1419959;Cysteine
C0007177;tomography
C0019156;Hepatic Veno-Occlusive Disease
C0019155;Structure of hepatic vein
C0019151;Patients
C3849574;USP10 gene
C0949466;RNA
C1831742;Patients
C0032134;Patients
C1831741;Pharmacotherapy
C0032136;Sf9 Cells
C1420952;Signal Transduction Pathways
C1831738;Persons
C2745948;capecitabine
C1334497;Non-Small Cell Lung Carcinoma
C0746730;Cancer Patient
C0034782;Receptor-Mediated Signal Transduction
C1831735;high-risk group
C0032120;Patients
C0019169;Microorganism
C0034783;Signal Transduction Pathways
C0019168;Transplanted tissue
C1334492;Ectopic Gene Expression
C1334490;Protein Subunits
C0019163;CATHEPSIN D
C1418630;ASCL2 gene
C0699893;Inflammatory Bowel Diseases
C1095592;caffeic acid
C2984300;Insulin/Insulin Receptor Signaling Pathway
C0021485;Tube feeding of patient
C1369136;First line treatment
C0034786;Colorectal Carcinoma
C1155748;Cell Death
C0278838;Irreversible Electroporation
C0019139;Anticoagulants
C3887874;Anterior chamber angle tumor
C3887875;Visual field defects
C0019134;Blood Vessel
C0008487;MTOR gene
C0008489;valbenazine
C0699889;Brachytherapy
C0266811;Patients
C1418641;Tumor Microenvironment
C0699885;Complete cystectomy
C0242853;Family
C0950430;Metalloproteases
C0032112;B-Lymphocytes
C0444255;Venous blood specimen
C1334477;histone deacetylase 6
C0230871;Wound Healing
C0278851;BRAF gene
C0936147;Nutritional status
C0034760;Assay
C0266808;Chronic gastrointestinal hemorrhage
C1334474;AKR1A1 wt Allele
C0008497;Metaplasia
C0032100;Cathepsins B
C1334470;Accumulation
C0019144;Stage IV Colon Carcinoma
C0289507;Antioxidant Effect
C0019143;Bone Marrow-Derived Cell
C0229889;Lymphangioma
C0227226;Gastrointestinal Stromal Tumors
C0227224;Thickened
C1418652;Warburg Effect
C1418653;Genomic Instability
C0022790;ovarian neoplasm
C0242842;Cell Count
C0242844;Abdomen
C0733413;Meprin
C3178960;LRP6 gene
C0242849;Ultracentrifugation
C0032105;Endotoxins
C0458892;Squamous cell carcinoma
C0277524;TNF receptor-associated factor 6
C0227276;Stem cells
C0021439;irinotecan liposomal
C0007130;Perianal fistula
C0019116;G-Protein-Coupled Receptors
C0007131;Malignant neoplasm of thorax
C0019113;Stroma
C0007133;Carcinoma Papillary
C0007134;Urologic Neoplasms
C0019112;Ligation
C0008466;Tissue specific
C0007135;Ascending colon
C0007137;general population
C0007138;Genitourinary Neoplasms
C0021436;Infusion Pump
C1155711;Stem Cell Self-Renewal
C0180022;Detection
C1831786;Solid Neoplasm
C1831784;Malignant tumor of colon
C1334468;activin A
C0227286;Lipids
C0020119;Human Development
C0007140;Pelvis
C1419924;SEC22B gene
C4304118;Advanced Adult Hepatocellular Carcinoma
C1660642;Neoplastic Cell Transformation
C0007144;Multiple polyps
C0008479;Pharmaceutical Preparations
C0021440;Patients
C3887824;Lesion
C0033413;DCBLD1 gene
C1334459;Lymphatic Spread
C0010798;Cytochrome P450
C1333112;SATB2 gene
C1418600;Malignant Neoplasms
C1333114;Transanal Excision
C0010760;Mitochondria
C1418605;PKHD1 gene
C1333110;Colorectal High Grade Intraepithelial Neoplasia
C1309483;Ribonuclease III
C0007112;Epithelium
C0007113;Graft acceptance
C0007114;Persons
C0007115;Large Cell Lung Neuroendocrine Carcinoma
C0240225;Liver carcinoma
C0007117;Basal Cell Nevus Syndrome
C0227258;Pancreatic lipase
C0061516;Glutathione Disulfide
C3178914;Curcumin
C0074830;Somatostatin analog
C0278803;Italians
C0010763;Neoplastic Cell Transformation
C0278802;Patients
C0010762;Pharmaceutical Preparations
C0278804;Small intestine carcinoma
C2610186;SRSF2 gene
C1333115;Endoscopic biopsy
C1418610;Replication Origin
C0009780;Connective Tissue
C1335760;Resected Mass
C1419946;Hypersensitivity
C0007121;Survivors
C0007124;Mammary Neoplasms
C0227268;Matrix
C1321139;Study
C0007129;Liver
C0086808;Growth Factor
C2732618;Medical pathologist
C1321132;Steroids
C2984323;Signal Transduction
C4296896;Patients
C0074825;Insulin-Like Growth Factor Binding Protein 3
C1334435;Luc Gene
C0169661;PPDPF gene
C0022727;Pneumonia
C0529793;HMOX1 gene
C0009753;Study
C0156347;Endoscopic Ultrasound-Guided Fine Needle Aspiration
C1321107;Patients
C0878585;1 - 3
C0170657;Serotonin
C0022722;Immunotherapy
C0009758;Squamous cell carcinoma
C0034716;Rats Wistar
C0010749;TIPARP gene
C1513178;Metastasis Suppression
C3897254;Diagnostic tests
C0229815;External iliac lymph node group
C0205847;Childhood Hepatocellular Carcinoma
C1853135;Cessation of life
C0600290;Dehydration
C0034715;Rats Sprague-Dawley
C1334424;Patients
C1334425;Poorly differentiated carcinoma
C1334411;Locally Metastatic Malignant Neoplasm
C1310468;Patients
C0205832;Metastatic Carcinoma
C0061542;Obesity
C0007102;Relative (related person)
C0007103;Persons
C0007104;Unmarried person
C0022735;follow-up
C0007107;Patients
C0171998;noggin
C0021403;Endoscopy (procedure)
C0398686;Chronic granulomatous disease
C1828173;Symptoms
C2936623;Immunoprecipitation
C0182638;Radiopharmaceuticals
C0770460;Cessation of life
C2936622;Tumor Burden
C0183964;Gastrointestinal Neoplasms
C2936626;Cancer Cell Growth
C0034703;Rats Inbred F344
C1550101;cytokine
C0203201;Third lumbar vertebra
C4330475;LAG3 gene
C0022702;Kinetics
C0008405;Carcinogens
C0398650;Inflammatory Bowel Diseases
C0216510;Phosphotransferases
C1817498;Family
C1335737;cancer therapy
C1334407;Prostate
C0010723;Mouse Model
C1550100;Cohort
C1539782;HIGD1A gene
C1538453;CHKB gene
C0183956;Patients
C2936637;Patients
C0877248;Persons
C0060231;RNA Messenger
C0229800;Metastatic Lesion
C0399997;Appendicitis
C0565434;Laparoscopic total cystectomy
C0183941;Patients
C0229807;Secondary Neoplasm
C0600269;Oncologists
C1513183;penis
C0059249;annexin A5
C1539791;IMPACT gene
C1419906;TNFRSF11A protein human
C1335729;Monoclonal Gammapathies
C0169658;Neuroblastoma
C1831796;Lymphangiectasis Intestinal
C2936643;Did not receive therapy or drug for
C3274817;Patients
C0230840;Inner mitochondrial membrane
C0768176;Abnormality of mitochondrial metabolism
C0085542;Hydroxymethylglutaryl-CoA Reductase Inhibitors
C0060240;Immunostimulating conjugate (antigen)
C1867743;Metabolic Diseases
C3489483;Gadoxetic acid
C0010709;Polycystic Kidney Autosomal Dominant
C0010707;Bladder Neoplasm
C4018878;Gastrointestinal Microbiome
C0010702;Bladder Neoplasm
C0086860;CYP1A1 protein human
C0085532;Stenosis
C0085533;High risk of
C0085536;Protein Tyrosine Phosphatase
C0085537;Caregiver
C2986924;schisantherin A
C1155780;Mitosis
C2609147;Pharmacotherapy
C0242821;Cells
C1155789;nuclear division
C0254803;Malignant tumor of colon
C0060264;fludarabine
C1142499;erlotinib
C0230825;Multivesicular body
C1538499;Genes
C3898565;Tumor Lysis Syndrome
C1167791;Doxycycline
C4018859;Massive hemorrhage
C0086890;Non-Small Cell Lung Carcinoma
C2609129;Acute inflammation
C1310406;Acclimatization
C0085559;intensive care
C0205890;Rupture
C0230839;Translocase
C0073571;Obstruction
C0456276;Transverse incision
C0600228;Male population group
C1879736;Hemorrhagic proctitis
C4329454;Persons
C0085584;Beriberi
C0118111;Family
C2188405;removal technique
C0878627;Mucosal neuromas
C0854652;Proton Therapy
C0360105;Family history
C0815047;Pathologic Neovascularization
C0600334;Tumor cells uncertain whether benign or malignant
C1710648;TLR4 gene
C0815043;Organism
C0815045;Storage proteins
C0347129;Persons
C2827459;Neoplasms
C0085580;Hypertensive disease
C0060282;Patients
C1275631;Macrophage Activation Syndrome
C0119452;Body tissue
C0073590;Pentalogy of Cantrell
C0073591;Glutathione
C3814904;Tumor Progression
C1514534;Mass Spectrometry
C0060291;Endothelial Cells
C0914700;Malignant neoplasm of lung
C0118134;Membrane Potential Mitochondrial
C2754092;Oxidative Demethylation
C1552809;Study
C3813609;Anastomotic Leak
C2827433;Protein complex
C1708335;Blood specimen
C0422813;Clinical function
C1514560;Chemicals
C1708350;Chemotherapy Adjuvant
C3489579;Tissue Microarray Analysis
C1514559;DPYSL3 gene
C1515884;Chronic disease
C3489575;Tube feeding of patient
C1539835;Adenosine Phosphosulfate
C0085590;Patients
C0084261;Malignant neoplasm of stomach
C0120465;KRAS gene
C0085593;Woman
C1961006;Recent weight loss
C0554794;Participant
C3274777;Liver
C1865043;TFF3 gene
C3274775;Mildly Abnormal Ejection Fraction
C0288148;solute carrier family 11- (proton-coupled divalent metal ion transporters) member 2
C1539887;Infiltration
C1538557;OXCT1 gene
C1710602;Patients
C0815089;Adenocarcinoma of large intestine
C1948023;Stimulation (motivation)
C2126192;Woman
C1709603;post surgery radiation therapy
C3491856;Diffuse Large B-Cell Lymphoma
C3272108;PERIANAL condyloma acuminata
C1274347;Bacterial cellulitis
C1880662;Patients
C1880660;cetuximab
C1538561;Patients
C2936719;Mechanical Allodynia
C0312443;Patients
C1865068;Genes
C1709627;Prognosis bad
C0398730;Phagocytic cell defect
C1538532;mRNA Expression
C1710625;Blood Vessel
C1513276;Neoplasm Micrometastasis
C0205824;liposarcoma
C1539862;ST3GAL4 gene
C3825618;Challenge
C2827483;Cohort
C1513266;Microbial Physiology
C2827486;Patients
C1539878;Tumor Immunity
C3715044;envelope
C1513269;Microcyst
C0288171;Immune response
C0032098;FAT1 gene
C1417250;Mutation
C1418581;T-Lymphocyte
C0239181;Disease
C0349707;Aspiration-action
C3838965;Patients
C3826972;Patients
C0032082;Plant Growth Regulators
C1418591;Memory impairment
C0699819;Gut
C1261074;Macrophage Activation Syndrome
C1418596;Lipopolysaccharides
C0032081;Agent
C1261076;Adenocarcinoma
C0699810;age differences
C0264122;Endoscopic Submucosal Dissection
C1261077;Macrophage Activation Syndrome
C0239182;Patients
C0276138;Viral myocarditis
C3838947;Patients
C0806957;Urinary tract infection
C0227188;Neoplasms
C1443559;PTPRF gene
C4510392;Tamoxifen therapy
C2755352;DNA Demethylation
C0746674;Male population group
C3826981;Main Duct Pancreatic Intraductal Papillary-Mucinous Neoplasm
C0948089;Cancer Patient
C0007093;Carcinoid Tumor
C1418544;Adenocarcinoma of large intestine
C1420865;RNF168 gene
C1419876;Mucous Membrane
C0007095;general population
C3812373;Somatostatin-Secreting Cells
C0033382;Proline
C1417216;multiple pathologies
C0007097;Mice Nude
C0252194;Colorectal Carcinoma
C0007099;Esophagus
C0019079;Symptoms
C0815004;Ganglioneuroma
C0021390;Italians
C0019080;Injury of intestine
C0374711;Patients
C1539803;neuronal
C1456828;HSF4 gene
C0422837;Neurological observations
C0278751;localized malignant mesothelioma
C0032042;High-Risk Cancer
C1710670;Ovarian cancer disseminated
C1418552;Long Term Survivorship
C0265493;Malignant Neoplasms
C2827421;Construct
C1431519;ZNF750 gene
C0033377;removal technique
